OXBSL4,TSJ19,MGJ1902,TSJ19 - SBC Bintaro Sing Tel (inet public),ORIGINASI,NULL,SINGTEL,6,-,-,SBC ACME PACKET,trial,NULL,6000-6433
OXBST1,TSJ19,MGJ1902,TSJ19 - SBC Bintaro Shinetown 01000 Shine Town Jkt,ORIGINASI,NULL,SHINETOWN,13,-,-,SBC ACME PACKET,inservice,NULL,6000-6805
OXBST2,TSJ19,MGJ1902,TSJ19 - SBC Bintaro Shinetown  (via router ICR jkt),ORIGINASI,NULL,SHINETOWN,NULL,NULL,NULL,SBC ACME PACKET,trial,NULL,NULL
OXBTC3,TSJ19,MGJ1902,TSJ19 - SBC Bintaro Tata Comunication,ORIGINASI,"IP media TATA: 112.215.6.210
IP signaling TATA : 116.0.70.11
                                66.198.81.6",TATA,NULL,NULL,NULL,SBC ACME PACKET,INSERVICE,NULL,NULL
OXBTL1,TSJ19,MGJ1902,TSJ19 - SBC Bintaro Telindo,ORIGINASI,NULL,TELINDO,3,-,-,SBC ACME PACKET,inservice,NULL,6000-6805
OXBTM5,TSJ19,MGJ1902,TSJ19 - SBC Bintaro TM Singapore,originasi,NULL,TM SINGAPORE,NULL,NULL,NULL,SBC ACME PACKET,trial,NULL,NULL
TXACL1,TSJ19,MGJ1901,MGJ1901 - Celcom Kepong (2CELC),BOTHWAY,NULL,CELCOM,6,10409,10279,Direct,inservice,NULL,NULL
TXACL2,TSJ19,MGJ1901,MGJ1901 - Celcom Shah Alam (2CECL),BOTHWAY,NULL,CELCOM,6,10409,10278,Direct,inservice,NULL,NULL
TXACL3,TSJ19,MGJ1901,MGJ1901 - Celcom Kepong 3G (2CECL),BOTHWAY,NULL,CELCOM,8,10409,10279,Direct,inservice,NULL,NULL
TXACL4,TSJ19,MGJ1901,MGJ1901 - Celcom Shah Alam (2TMCH),BOTHWAY,NULL,CELCOM,32,10409,10278,Direct,inservice,NULL,NULL
TXACL5,TSJ19,MGJ1901,MGJ1901 - Celcom Kepong (2TMCH),BOTHWAY,NULL,CELCOM,29,10409,10279,Direct,inservice,NULL,NULL
TXACL6,TSJ19,MGJ1901,MGJ1901 - Celcom Shah Alam (Equinix)),BOTHWAY,NULL,CELCOM,70,10409,10278,Direct,inservice,NULL,NULL
TXACL7,TSJ19,MGJ1901,MGJ1901 - Celcom Kepong (Equinix),BOTHWAY,NULL,CELCOM,73,10409,10279,Direct,inservice,NULL,NULL
TXACL8,TSJ19,MGJ1901,MGJ1901 ? Celcom For Inbound Dial + and Outbound MSRN (Equinix),ORIGINASI,NULL,CELCOM,3,10409,10279,Direct,inservice,NULL,NULL
TXASKM,TSJ19,MGJ1902,MGJ1902 - SBC Bintaro,ORIGINASI,ok,ASIAKOMNET,6,-,-,SBC ACME PACKET,inservice,NULL,6000-6371
TXBBG3,TSJ19,MGJ1902,MGJ1902 - TB Belgacom 1st Class,ORIGINASI,NULL,BELGA,1,9413,3705,Telco Bridge,inservice,NULL,NULL
TXBBG4,TSJ19,MGJ1902,MGJ1902 ? TB Belgacom For Inbound Dial + and Outbound MSRN,ORIGINASI,NULL,BELGA,2,9413,3705,Telco Bridge,inservice,NULL,NULL
TXBBG5,TSJ19,MGJ1902,TSJ19 - SBC Bintaro Belga CLI,TERMINASI,NULL,BELGA,20,-,-,SBC ACME PACKET,trial,NULL,6000-7239
TXBBTV,TSJ19,MGJ1902,TSJ19 - Esia IDD Jakarta (VoIP Terminasi),TERMINASI,NULL,ESIA,5,-,-,Direct,inservice,NULL,NULL
TXBCCW,TSJ19,MGJ1902,TSJ19 - SBC Bintaro  PCCW,TERMINASI,NULL,PCCW,1,-,-,SBC ACME PACKET,trial,NULL,6000-6003
TXBCL1,TSJ19,MGJ1902,TSJ19 - SBC Bintaro Celcom Kepong (Equinix) via inet public,TERMINASI,NULL,CELCOM,118,-,-,SBC ACME PACKET,inservice,NULL,6000-11827
TXBCL3,TSJ19,MGJ1902,TSJ19 - SBC Bintaro Celcom Shahalam (Equinix) via inet public,TERMINASI,NULL,CELCOM,118,-,-,SBC ACME PACKET,inservice,NULL,6000-11827
TXBDLG,TSJ19,MGJ1902,TSJ19 - SBC Bintaro  Dialog Termination,TERMINASI,NULL,DIALOG,4,-,-,SBC ACME PACKET,inservice,NULL,6000-6247
TXBESS,TSJ19,MGJ1902,TSJ19 - SBC Bintaro BTEL,BOTHWAY,NULL,BTEL,12,-,-,SBC ACME PACKET,inservice,NULL,6000-6743
TXBFR1,TSJ19,MGJ1902,TSJ19 - SBC Bintaro Orange FT,ORIGINASI,NULL,ORANGE FT,2,-,-,SBC ACME PACKET,trial,NULL,6000-6003
TXBGH1,TSJ19,MGJ1902,MGJ1902 - Gaharu Bw,BOTHWAY,NULL,GAHARU,5,9453,3653,Direct,inservice,NULL,NULL
TXBHCP,TSJ19,MGJ1902,TSJ19 - SBC Bintaro HCPT,BOTHWAY,NULL,HCPT,1,-,-,SBC ACME PACKET,trial,NULL,6000-6062
TXBIND,TSJ19,MGJ1902,TSJ19 - SBC Bintaro ISAT,BOTHWAY,NULL,INDOSAT,1,-,-,SBC ACME PACKET,trial,NULL,6000-6062
TXBIP1,TSJ19,MGJ1902,TSJ19 - SBC Bintaro  IP Telin,TERMINASI,NULL,IPTELIN,12,-,-,SBC ACME PACKET,inservice,NULL,6000-6063
TXBIT1,TSJ19,MGJ1902,TSJ19 - SBC Bintaro  TMI via inet,ORIGINASI,NULL,TM INTERNATIONAL,NULL,-,-,SBC ACME PACKET,trial,NULL,6000-8479
TXBJST,TSJ19,MGJ1902,MGJ1902-SBC Bintaro Jasnita,ORIGINASI,NULL,JASNITA,5,-,-,SBC ACME PACKET,inservice,NULL,6000-6309
TXBM11,TSJ19,MGJ1902,MGJ1902 - M1 Singapore (direct),TERMINASI,NULL,M1,28,5261,1107,Direct,inservice,NULL,NULL
TXBM12,TSJ19,MGJ1902,MGJ1902 - M1 Singapore (direct),TERMINASI,NULL,M1,3,5261,1107,Direct,inservice,NULL,NULL
TXBNG7,TSJ19,MGJ1902,TSJ19 - SBC Bintaro NGT CLI,TERMINASI,NULL,NGT,30,-,-,SBC ACME PACKET,inservice,NULL,6000-9657
TXBNG8,TSJ19,MGJ1902,TSJ19 - SBC Bintaro NGT no CLI,TERMINASI,NULL,NGT,10,-,-,SBC ACME PACKET,inservice,NULL,6000-7239
TXBNG9,TSJ19,MGJ1902,TSJ19 - SBC Bintaro NGT for DiGi,TERMINASI,NULL,NGT,20,-,-,SBC ACME PACKET,inservice,NULL,6000-8479
TXBNGO,TSJ19,MGJ1902,MGJ1902 - TB NGT Networks,ORIGINASI,NULL,NGT,37,9413,3705,Telco Bridge,inservice,NULL,NULL
TXBSH1,TSJ19,MGJ1902,MGJ1902 - IMG Bintaro Shinetown Termination non CLI_Equinix,TERMINASI,NULL,SHINETOWN,17,9413,3706,IMG,inservice,NULL,NULL
TXBSHT,TSJ19,MGJ1902,MGJ1902 - IMG Bintaro Shinetown ISDN Jakarta,TERMINASI,NULL,SHINETOWN,31,9413,3706,IMG,inservice,NULL,NULL
TXBSL1,TSJ19,MGJ1902,MGJ1902 - TB Singapore Telecommunication,ORIGINASI,NULL,SINGTEL,5,9413,3705,Telco Bridge,inservice,NULL,NULL
TXBSL3,TSJ19,MGJ1902,TSJ19 - SBC Bintaro Sing Tel,TERMINASI,NULL,SINGTEL,7,-,-,SBC ACME PACKET,inservice,NULL,6000-6433
TXBSL4,TSJ19,MGJ1902,MGJ1902-IMG Bintaro Jasnita,ORIGINASI,NULL,JASNITA,5,9413,3697,IMG,dismantle,NULL,NULL
TXBSRT,TSJ19,MGJ1902,MGJ1902 - IMG Bintaro Smartone Hongkong,TERMINASI,NULL,SMARTONE,4,9413,3706,IMG,inservice,NULL,NULL
TXBST1,TSJ19,MGJ1902,TSJ19 - SBC Bintaro Smartone,TERMINASI,NULL,SMARTONE,4,-,-,SBC ACME PACKET,inservice,NULL,6000-6247
TXBST2,TSJ19,MGJ1902,TSJ19 - SBC Bintaro Shinetown for Digi,TERMINASI,NULL,SHINETOWN,32,-,-,SBC ACME PACKET,inservice,NULL,6000-7983
TXBST3,TSJ19,MGJ1902,MGJ1902 - Termination Shinetown CLI ? XL ON NET,TERMINASI,NULL,SHINETOWN,10,9413,3705,Telco Bridge,inservice,NULL,NULL
TXBST4,TSJ19,MGJ1902,TSJ19 - SBC Bintaro  TMI,TERMINASI,NULL,TM INTERNATIONAL,40,-,-,SBC ACME PACKET,trial,NULL,6000-8479
TXBST5,TSJ19,MGJ1902,MGJ1902 - ShineTown SGP for VoIP Corporate (151562),ORIGINASI,NULL,SHINETOWN,10,9413,3709,Telco Bridge,inservice,NULL,NULL
TXBST6,TSJ19,MGJ1902,TSJ19 - SBC Bintaro Smartone,TERMINASI,NULL,SMARTONE,4,-,-,SBC ACME PACKET,trial,NULL,6000
TXBSTN,TSJ19,MGJ1902,MGJK1902 - TB VoIP 01000 Shine Town Jkt,ORIGINASI,NULL,SHINETOWN,13,9413,3705,Telco Bridge,dismantle,NULL,NULL
TXBSTT,TSJ19,MGJ1902,MGJ1902 - ShineTown Jakarta,TERMINASI,NULL,SHINETOWN,14,9453,3655,Direct,inservice,NULL,NULL
TXBSTW,TSJ19,MGJ1902,MGJ1902 - IMG Bintaro Shinetown CLI_Equinix,TERMINASI,NULL,SHINETOWN,28,9413,3697,IMG,inservice,NULL,NULL
TXBSV1,TSJ19,MGJ1902,TSJ19 - SBC Bintaro Sunvone (171762),ORIGINASI,NULL,SUNVONE,20,-,-,SBC ACME PACKET,inservice,NULL,6000-7239
TXBTB1,TSJ19,MGJ1902,MGJ1902 - TB TM Singapore,ORIGINASI,NULL,TM SINGAPORE,3,9413,3705,Telco Bridge,inservice,NULL,NULL
TXBTC1,TSJ19,MGJ1902,MGJ1902 - TB Tata Communication,ORIGINASI,NULL,TATA,3,9413,3705,Telco Bridge,inservice,NULL,NULL
TXBTC2,TSJ19,MGJ1902,TSJ19 - SBC Bintaro Tata Comunication,TERMINASI,NULL,TATA,4,-,-,SBC ACME PACKET,inservice,NULL,6000-6247
TXBTES,TSJ19,MGJ1902,TSJ19 - SBC Bintaro  TMI,NULL,NULL,SBCSB01 TESTING,NULL,-,-,SBC ACME PACKET,trial,NULL,NULL
TXBTG1,TSJ19,MGJ1902,MGJ1902 - IMG Bintaro Teleglobal (without CLI),TERMINASI,NULL,TELEGLOBAL,8,9413,3706,IMG,dismantle,NULL,NULL
TXBTG2,TSJ19,MGJ1902,MGJ1902 - IMG Bintaro Teleglobal (CLI),TERMINASI,NULL,TELEGLOBAL,4,9413,3706,IMG,dismantle,NULL,NULL
TXBTG3,TSJ19,MGJ1902,MGJ1902 - SBC Bintaro Teleglobal (without CLI),TERMINASI,NULL,TELEGLOBAL,8,-,-,SBC ACME PACKET,inservice,NULL,6000-6495
TXBTG4,TSJ19,MGJ1902,MGJ1902 - SBC Bintaro Teleglobal (CLI),TERMINASI,NULL,TELEGLOBAL,4,-,-,SBC ACME PACKET,inservice,NULL,6000-6247
TXBTG5,TSJ19,MGJ1902,MGJ1902 - SBC Bintaro Teleglobal (without CLI),TERMINASI,NULL,TELEGLOBAL,4,-,-,SBC ACME PACKET,inservice,NULL,6000-6247
TXBTG6,TSJ19,MGJ1902,MGJ1902 - SBC Bintaro Teleglobal (CLI),TERMINASI,NULL,TELEGLOBAL,1,-,-,SBC ACME PACKET,inservice,NULL,6000-6247
TXBTKM,TSJ19,MGJ1902,TSJ19 - SBC Bintaro Telkom,BOTHWAY,IP realm 10.178.127.45/26,TELKOM,1,-,-,SBC ACME PACKET,trial,NULL,6000-6062
TXBTLD,TSJ19,MGJ1902,MGJ1902 - IMG For Telindo,TERMINASI,NULL,TELINDO,1,9413,3697,IMG,inservice,NULL,NULL
TXBTLO,TSJ19,MGJ1902,MGJ1902 - TB Bintaro for Telindo,ORIGINASI,NULL,TELINDO,1,9413,3705,Telco Bridge,inservice,NULL,NULL
TXBTM1,TSJ19,MGJ1902,MGJ1902 - TB Bintaro TM Singapure,TERMINASI,NULL,TM SINGAPORE,4,9413,3709,Telco Bridge,inservice,NULL,NULL
TXBTM9,TSJ19,MGJ1902,TSJ19 - SBC Bintaro TM Singapore,TERMINASI,NULL,TM SINGAPORE,3,-,-,SBC ACME PACKET,inservice,NULL,6000-6185
TXBTMI,TSJ19,MGJ1902,MGJ1902 - TB Bintaro TM International,TERMINASI,NULL,TM INTERNATIOAL,22,9413,3709,Telco Bridge,inservice,NULL,NULL
TXBTMO,TSJ19,MGJ1902,MGJ1902 - TB TM International,ORIGINASI,NULL,TM INTERNATIOAL,14,9413,3705,Telco Bridge,inservice,NULL,NULL
TXBTSL,TSJ19,MGJ1902,TSJ19 - SBC Bintaro TSEL,BOTHWAY,NULL,TELKOMSEL,1,-,-,SBC ACME PACKET,trial,NULL,6000-6062
TXBTST,TSJ19,MGJ1902,MGJK1902 -TB VoIP 01000 Shine Town Spore,ORIGINASI,NULL,SHINETOWN,10,9413,3705,Telco Bridge,inservice,NULL,NULL
TXBVB3,TSJ19,MGJ1902,TSJ19 - SBC IMG Corporate,TERMINASI,NULL,VOIP CORPORATE,NULL,-,-,SBC ACME PACKET,inservice,NULL,6000-65535
TXGHRU,TSJ19,MGJ1902,TSJ19 - SBC Bintaro NGT no CLI,TERMINASI,NULL,GAHARU,71,-,-,SBC ACME PACKET,inservice,NULL,6000-7983
TXIPBO,TSJ20,MGJ2002,TSJ20 - VoIP PABX Via Dugem,ORIGINASI,NULL,PABX,1,9453,3699,Direct,inservice,NULL,NULL
